"ab 13 Uhr","ابتداءً من الساعة الواحدة"
"Aktuelle Öffnungszeiten und Informationen zu Terminen und Anmeldung finden Sie auf unserer Webseite:","أوقات الدوام الحالية وكلّ المعلومات الخاصة بالمواعيد والتسجيل تجدها على صفحتنا على الإنترنت "
"Alle Angebote der KuB sind kostenlos.","تقدم منظمة كوب جميع خدماتها دون مقابل."
"Alleinerziehende","الأمهات العازبات"
"Beratung für geflüchtete Frauen","استشارات للنساء"
"Beratung zu Asyl und Aufenthalt","استشارة قانونية في حقوق اللجوء ﻭالإﻗﺎﻣﺓ"
"Betroffene von häuslicher Gewalt","ضحايا العنف المنزلي"
"Betroffene von sexualisierter Gewalt","ضحايا العنف الجنسي"
"Bitte bringen Sie alle Papiere mit, die für die Beratung wichtig sind.","الرجاء التأكد من إحضار جميع الوثائق الهامة إلى الاستشارة."
"Dafür schaffen wir eine geschützte und vertrauliche Atmosphäre.","قمنا باستحداث بيئة آمنة من أجل ذلك."
"Das sind vor allem:","وهي قبل كل شيء:"
"de","ar"
"Deutsch lernen","تعلم اللغة الألمانية"
"Die Frauenberatung der KuB ist für geflüchtete Frauen, die besonderen Schutz brauchen.","الاستشارة النسائية* في كوب موجهة للنساء اللاجئات اللواتي يحتجن إلى حماية خاصة."
"Die meisten Kurse finden 2 mal pro Woche statt.","جميع الدورات الخاصة بتعلم اللغة تُقام مرتين بالأسبوع"
"Ein Kurs geht 5 Monate.","تستمر الدورة لمدة 5 أشهر."
"E-Mail","بريد إلكتروني"
"Es gibt auch einen Alphabetisierungs-Kurs für Menschen, die nicht lesen und schreiben können, entweder weil sie eine andere Schrift gelernt haben, oder weil sie es nie gelernt haben.","نقدم دورة أبجدية للأشخاص الذين لم يستطيعوا تعلم الكتابة والقراءة، إما لأنّهم تعلموا نمط  كتابة مختلف، أو لأنهم لم يتعلموا أبداً."
"Es kann leider sein, dass Sie mehrere Stunden warten müssen.","مع الأسف يوجد احتمالية الانتظار لساعات طويلة."
"Fax","فاكس"
"Informationen zu den aktuellen Kursen und zur Anmeldungen gibt es während unserer Öffnungszeiten oder auf unserer Webseite.","المعلومات عن دورات اللغة الحالية والتسجيل عليها تجدها إمّا من خلال  سؤالنا في أوقات الدوام أو على صفحتنا على الإنترنت."
"Kommen Sie um 9:00 Uhr, um sich zur Beratung anzumelden.","يمكنك القدوم على الساعة التاسعة للتسجيل للإستشارة"
"KONTAKT","للاتصال"
"ltr","rtl"
"Psychosoziale Beratung","الاستشارة النفسية الاجتماعية"
"Schwangere","النساء الحوامل"
"Sie brauchen keinen Termin.","لا تحتاج لموعد مسبق"
"Sie entscheiden, worüber wir reden.","أنت تقرر موضوع الحديث."
"Sie gehen keine Verpflichtungen ein.","لا يعود الأمر عليك بأي التزامات."
