"ab 13 Uhr","ab 13 Uhr"
"Aktuelle Öffnungszeiten und Informationen zu Terminen und Anmeldung finden Sie auf unserer Webseite:","Aktuelle Öffnungszeiten und Informationen zu Terminen und Anmeldung finden Sie auf unserer Webseite:"
"Alle Angebote der KuB sind kostenlos.","Alle Angebote der KuB sind kostenlos."
"Alleinerziehende","Alleinerziehende"
"Beratung für geflüchtete Frauen","Beratung für geflüchtete Frauen"
"Beratung zu Asyl und Aufenthalt","Beratung zu Asyl und Aufenthalt"
"Betroffene von häuslicher Gewalt","Betroffene von häuslicher Gewalt"
"Betroffene von sexualisierter Gewalt","Betroffene von sexualisierter Gewalt"
"Bitte bringen Sie alle Papiere mit, die für die Beratung wichtig sind.","Bitte bringen Sie alle Papiere mit, die für die Beratung wichtig sind."
"Dafür schaffen wir eine geschützte und vertrauliche Atmosphäre.","Dafür schaffen wir eine geschützte und vertrauliche Atmosphäre."
"Das sind vor allem:","Das sind vor allem:"
"de","de"
"Deutsch lernen","Deutsch lernen"
"Die Frauenberatung der KuB ist für geflüchtete Frauen, die besonderen Schutz brauchen.","Die Frauenberatung der KuB ist für geflüchtete Frauen, die besonderen Schutz brauchen."
"Die meisten Kurse finden 2 mal pro Woche statt.","Die meisten Kurse finden 2 mal pro Woche statt."
"Ein Kurs geht 5 Monate.","Ein Kurs geht 5 Monate."
"E-Mail","E-Mail"
"Es gibt auch einen Alphabetisierungs-Kurs für Menschen, die nicht lesen und schreiben können, entweder weil sie eine andere Schrift gelernt haben, oder weil sie es nie gelernt haben.","Es gibt auch einen Alphabetisierungs-Kurs für Menschen, die nicht lesen und schreiben können, entweder weil sie eine andere Schrift gelernt haben, oder weil sie es nie gelernt haben."
"Es kann leider sein, dass Sie mehrere Stunden warten müssen.","Es kann leider sein, dass Sie mehrere Stunden warten müssen."
"Fax","Fax"
"Informationen zu den aktuellen Kursen und zur Anmeldungen gibt es während unserer Öffnungszeiten oder auf unserer Webseite.","Informationen zu den aktuellen Kursen und zur Anmeldungen gibt es während unserer Öffnungszeiten oder auf unserer Webseite."
"Kommen Sie um 9:00 Uhr, um sich zur Beratung anzumelden.","Kommen Sie um 9:00 Uhr, um sich zur Beratung anzumelden."
"KONTAKT","KONTAKT"
"Kontakt- und Beratungsstelle für Flüchtlinge und Migrant_innen e.V.","Kontakt- und Beratungsstelle für Flüchtlinge und Migrant_innen e.V."
"ltr","ltr"
"Psychosoziale Beratung","Psychosoziale Beratung"
"Schwangere","Schwangere"
"Sie brauchen keinen Termin.","Sie brauchen keinen Termin."
"Sie entscheiden, worüber wir reden.","Sie entscheiden, worüber wir reden."
"Sie gehen keine Verpflichtungen ein.","Sie gehen keine Verpflichtungen ein."
"Sie können sich an uns wenden, auch wenn Sie keinen sicheren Aufenthaltsstatus haben.","Sie können sich an uns wenden, auch wenn Sie keinen sicheren Aufenthaltsstatus haben."
"Sie können zu uns kommen:","Sie können zu uns kommen:"
"Spendenkonto","Spendenkonto"
"Telefon","Telefon"
"Unsere Kurse sind vor allem für Menschen, die keine Integrationskurse besuchen dürfen.","Unsere Kurse sind vor allem für Menschen, die keine Integrationskurse besuchen dürfen."
"Versuchen Sie es einfach!","Versuchen Sie es einfach!"
"Wenn Sie eine*n Sprachmittler*in bei der Beratung dabei haben wollen, rufen Sie bitte vorher bei uns an.","Wenn Sie eine*n Sprachmittler*in bei der Beratung dabei haben wollen, rufen Sie bitte vorher bei uns an."
"Wenn Sie nicht wissen, wie Sie weiterleben sollen.","Wenn Sie nicht wissen, wie Sie weiterleben sollen."
"Wenn Sie oft große Angst haben.","Wenn Sie oft große Angst haben."
"Wenn Sie schlecht schlafen.","Wenn Sie schlecht schlafen."
"Wenn Sie sehr oft traurig sind.","Wenn Sie sehr oft traurig sind."
"Wenn Sie sich hilflos fühlen.","Wenn Sie sich hilflos fühlen."
"Wir beraten auf verschiedenen Sprachen, zum Beispiel: Arabisch, Kurdisch, Farsi, Französisch oder Russisch.","Wir beraten auf verschiedenen Sprachen, zum Beispiel: Arabisch, Kurdisch, Farsi, Französisch oder Russisch."
"Wir beraten Sie zu Asyl- und Aufenthaltsrecht.","Wir beraten Sie zu Asyl- und Aufenthaltsrecht."
"Wir beraten zu Ihren Rechten und Möglichkeiten und unterstützen beim Stellen von Anträgen.","Wir beraten zu Ihren Rechten und Möglichkeiten und unterstützen beim Stellen von Anträgen."
"Wir haben Kurse für Anfänger*innen (A1.1, A1.2, A2.1, A2.2) und für Fortgeschrittene (B1, B2).","Wir haben Kurse für Anfänger*innen (A1.1, A1.2, A2.1, A2.2) und für Fortgeschrittene (B1, B2)."
"Wir hören Ihnen zu.","Wir hören Ihnen zu."
"Wir können Sie auch anonym beraten.","Wir können Sie auch anonym beraten."
"Wir machen keine Psychotherapie, aber wir können Ihnen helfen, eine Therapie zu finden.","Wir machen keine Psychotherapie, aber wir können Ihnen helfen, eine Therapie zu finden."
"Wir sind eine unabhängige Beratungsstelle.","Wir sind eine unabhängige Beratungsstelle."
"Wir suchen mit Ihnen zusammen Wege, wie Sie mit Ihren Problemen umgehen können.","Wir suchen mit Ihnen zusammen Wege, wie Sie mit Ihren Problemen umgehen können."
"Wir übernehmen keine Klagen vor Gericht für Sie. Wir können Ihnen aber helfen, eine Anwält*in zu finden.","Wir übernehmen keine Klagen vor Gericht für Sie. Wir können Ihnen aber helfen, eine Anwält*in zu finden."
