"ab 13 Uhr","after 1pm"
"Aktuelle Öffnungszeiten und Informationen zu Terminen und Anmeldung finden Sie auf unserer Webseite:","Current opening hours and information on dates and registration can be found on our website:"
"Alle Angebote der KuB sind kostenlos.","All KuB services are free of charge."
"Alleinerziehende","Single mothers"
"Beratung für geflüchtete Frauen","Support for female refugees"
"Beratung zu Asyl und Aufenthalt","Advice on asylum and residency"
"Betroffene von häuslicher Gewalt","Women affected by domestic violence"
"Betroffene von sexualisierter Gewalt","Women affected by sexual violence"
"Bitte bringen Sie alle Papiere mit, die für die Beratung wichtig sind.","Please make sure you bring all relevant documents."
"Dafür schaffen wir eine geschützte und vertrauliche Atmosphäre.","We've created a safe atmosphere for you."
"Das sind vor allem:","In particular:"
"de","en"
"Deutsch lernen","German courses"
"Die Frauenberatung der KuB ist für geflüchtete Frauen, die besonderen Schutz brauchen.","KuB's support for women is focused on female refugees who need special protection."
"Die meisten Kurse finden 2 mal pro Woche statt.","Most courses are held 2 times a week."
"Ein Kurs geht 5 Monate.","One course is 5 months long."
"E-Mail","Email"
"Es gibt auch einen Alphabetisierungs-Kurs für Menschen, die nicht lesen und schreiben können, entweder weil sie eine andere Schrift gelernt haben, oder weil sie es nie gelernt haben.","There is also a literacy course for people who cannot read and write, either because they have learned a different script or because they have never learned it."
"Es kann leider sein, dass Sie mehrere Stunden warten müssen.","Unfortunately, you may have to wait several hours."
"Fax","Fax"
"Informationen zu den aktuellen Kursen und zur Anmeldungen gibt es während unserer Öffnungszeiten oder auf unserer Webseite.","Information on current courses and registration is available during our opening hours or on our website."
"Kommen Sie um 9:00 Uhr, um sich zur Beratung anzumelden.","Come at 9:00 a.m. to register for counseling."
"KONTAKT","CONTACT"
"ltr","ltr"
"Psychosoziale Beratung","Psychosocial Counseling"
"Schwangere","Pregnant women"
"Sie brauchen keinen Termin.","You do not need an appointment."
"Sie entscheiden, worüber wir reden.","You can decide what we talk about."
"Sie gehen keine Verpflichtungen ein.","You don't have to commit to anything."
"Sie können sich an uns wenden, auch wenn Sie keinen sicheren Aufenthaltsstatus haben.","You can contact us even if you do not have a secure residence status."
"Sie können zu uns kommen:","We're here to listen:"
"Spendenkonto","Donations"
"Telefon","Phone"
"Unsere Kurse sind vor allem für Menschen, die keine Integrationskurse besuchen dürfen.","Our courses are primarily for people who are not allowed to attend integration courses."
"Versuchen Sie es einfach!","Just try it out!"
"Wenn Sie eine*n Sprachmittler*in bei der Beratung dabei haben wollen, rufen Sie bitte vorher bei uns an.","If you would like the assistance of an interpreter during your session, please give us a call beforehand."
"Wenn Sie nicht wissen, wie Sie weiterleben sollen.","If you don't know how to go on with your life."
"Wenn Sie oft große Angst haben.","If you are often very scared."
"Wenn Sie schlecht schlafen.","If you can't sleep."
"Wenn Sie sehr oft traurig sind.","If you often feel sad."
"Wenn Sie sich hilflos fühlen.","If you feel helpless."
"Wir beraten auf verschiedenen Sprachen, zum Beispiel: Arabisch, Kurdisch, Farsi, Französisch oder Russisch.","We offer advice in various languages, for example: Arabic, Kurdish, Farsi, French or Russian."
"Wir beraten Sie zu Asyl- und Aufenthaltsrecht.","We offer counselling sessions on asylum and residency rights."
"Wir beraten zu Ihren Rechten und Möglichkeiten und unterstützen beim Stellen von Anträgen.","We advise you on your rights and options and support you in submitting applications."
"Wir haben Kurse für Anfänger*innen (A1.1, A1.2, A2.1, A2.2) und für Fortgeschrittene (B1, B2).","We have courses for beginners (A1.1, A1.2, A2.1, A2.2) and for advanced learners (B1, B2)."
"Wir hören Ihnen zu.","We will listen to you."
"Wir können Ihnen aber helfen, ein Gerichtsverfahren zu beginnen und eine Anwält*in zu finden.","However, we can help you begin your court case and find a lawyer."
"Wir können Sie auch anonym beraten.","It is possible to get consultation anonymously."
"Wir können Sie nicht vor Gericht vertreten.","We cannot represent you in court."
"Wir machen keine Psychotherapie, aber wir können Ihnen helfen, eine Therapie zu finden.","We do not provide psychotherapy, but we can help you find therapy."
"Wir sind eine unabhängige Beratungsstelle.","We are an independent counseling center."
"Wir suchen mit Ihnen zusammen Wege, wie Sie mit Ihren Problemen umgehen können.","Together we will find ways to deal with your problems."
