"Aktuelle Öffnungszeiten und Informationen zu Terminen und Anmeldung finden Sie auf unserer Webseite:",""
"Alle Angebote der KuB sind kostenlos.","Todos los servicios del KuB son gratuitos."
"Alleinerziehende","Madres solteras"
"Beratung für geflüchtete Frauen","Asesoria para mujeres refugiadas"
"Beratung zu Asyl und Aufenthalt","Asesoramiento sobre asilo y residencia"
"Betroffene von häuslicher Gewalt","Víctimas de violencia doméstica"
"Betroffene von sexualisierter Gewalt","Víctimas de violencia sexual"
"Bitte bringen Sie alle Papiere mit, die für die Beratung wichtig sind.","Es necesario que traiga todos los documentos requeridos para la asesoría."
"Dafür schaffen wir eine geschützte und vertrauliche Atmosphäre.","Para ello creamos una atmósfera en la que se sienta protegida."
"Das sind vor allem:","Estas son:"
"de","es"
"Deutsch lernen","Aprender alemán"
"Die Frauenberatung der KuB ist für geflüchtete Frauen, die besonderen Schutz brauchen.","El asesoramiento para mujeres que ofrece el KuB se dirige principalmente a mujeres refugiadas, que necesitan protección especial."
"Die meisten Kurse finden 2 mal pro Woche statt.","Todos los cursos se imparten 2 veces por semana."
"Ein Kurs geht 5 Monate.","Los cursos duran 5 meses."
"E-Mail","E-mail"
"Es gibt auch einen Alphabetisierungs-Kurs für Menschen, die nicht lesen und schreiben können, entweder weil sie eine andere Schrift gelernt haben, oder weil sie es nie gelernt haben.",""
"Es kann leider sein, dass Sie mehrere Stunden warten müssen.",""
"Fax","Fax"
"Informationen zu den aktuellen Kursen und zur Anmeldungen gibt es während unserer Öffnungszeiten oder auf unserer Webseite.",""
"Kommen Sie um 9:00 Uhr, um sich zur Beratung anzumelden.",""
"KONTAKT","CONTACTO"
"Kontakt- und Beratungsstelle für Flüchtlinge und Migrant_innen e.V.","Kontakt- und Beratungsstelle für Flüchtlinge und Migrant_innen e.V."
"ltr","ltr"
"Psychosoziale Beratung","Asesoramiento psicosocial"
"Schwangere","Embarazadas"
"Sie brauchen keinen Termin.",""
"Sie entscheiden, worüber wir reden.","Usted decide sobre qué quiere hablar."
"Sie gehen keine Verpflichtungen ein.","No está obligado a nada."
"Sie können sich an uns wenden, auch wenn Sie keinen sicheren Aufenthaltsstatus haben.",""
"Sie können zu uns kommen:","Puede acudir a nosotros:"
"Spendenkonto","Donaciones"
"Telefon","Teléfono"
"Unsere Kurse sind vor allem für Menschen, die keine Integrationskurse besuchen dürfen.",""
"Versuchen Sie es einfach!","¡Solo inténtelo!"
"Wenn Sie eine*n Sprachmittler*in bei der Beratung dabei haben wollen, rufen Sie bitte vorher bei uns an.","Si necesita un intérprete durante el asesoramiento, debe llamarnos con antelación. "
"Wenn Sie nicht wissen, wie Sie weiterleben sollen.","Si no sabe cómo continuar con su vida."
"Wenn Sie oft große Angst haben.","Si tiene pánico a menudo."
"Wenn Sie schlecht schlafen.","Si tiene problemas para dormir."
"Wenn Sie sehr oft traurig sind.","Si se siente triste a menudo."
"Wenn Sie sich hilflos fühlen.","Si se siente desamparado/a."
"Wir beraten auf verschiedenen Sprachen, zum Beispiel: Arabisch, Kurdisch, Farsi, Französisch oder Russisch.",""
"Wir beraten Sie zu Asyl- und Aufenthaltsrecht.","Le asesoramos sobre sus derechos de asilo y residencia."
"Wir beraten zu Ihren Rechten und Möglichkeiten und unterstützen beim Stellen von Anträgen.",""
"Wir haben Kurse für Anfänger*innen (A1.1, A1.2, A2.1, A2.2) und für Fortgeschrittene (B1, B2).",""
"Wir hören Ihnen zu.","Le escuchamos."
"Wir können Sie auch anonym beraten.",""
"Wir machen keine Psychotherapie, aber wir können Ihnen helfen, eine Therapie zu finden.",""
"Wir sind eine unabhängige Beratungsstelle.",""
"Wir suchen mit Ihnen zusammen Wege, wie Sie mit Ihren Problemen umgehen können.","Le ayudaremos a encontrar soluciones para sus problemas."
"Wir übernehmen keine Klagen vor Gericht für Sie. Wir können Ihnen aber helfen, eine Anwalt*in zu finden.",""
