"ab 13 Uhr","از ساعت يك بعد از ظهر"
"Aktuelle Öffnungszeiten und Informationen zu Terminen und Anmeldung finden Sie auf unserer Webseite:","اطلاعات بروز مربوط به ساعات كاری ما را می‌توانيد روی وبسايت كوب ببينيد:"
"Alle Angebote der KuB sind kostenlos.","همه‌ی مشاوره‌ها در کوب رایگان هستند."
"Alleinerziehende","افرادی که به تنهایی فرزندانشان را بزرگ می‌کنند"
"Beratung für geflüchtete Frauen","مشاوره برای زنان پناه‌جو"
"Beratung zu Asyl und Aufenthalt","مشاوره برای پناهندگی و اقامت"
"Betroffene von häuslicher Gewalt","افرادی که مورد خشونت خانگی قرار گرفته‌اند"
"Betroffene von sexualisierter Gewalt","افرادی که مورد خشونت جنسی قرار گرفته‌اند"
"Bitte bringen Sie alle Papiere mit, die für die Beratung wichtig sind.","لطفاً همه‌ی اوراق، نامه‌ها و مدارکی که برای مشاوره مهم‌اند را با خود بیاورید."
"Dafür schaffen wir eine geschützte und vertrauliche Atmosphäre.","ما برای این کار یک فضای امن و قابل اعتماد ایجاد می کنیم."
"Das sind vor allem:","به خصوص"
"de","fa"
"Deutsch lernen","آموزش زبان آلمانی "
"Die Frauenberatung der KuB ist für geflüchtete Frauen, die besonderen Schutz brauchen.","هدف از مشاوره‌ی کوب برای زنان پناهجو، مشاوره برای زنانی است که به پشتیبانی ویژه نیاز دارند."
"Die meisten Kurse finden 2 mal pro Woche statt.","بيشتر کلاسها (کورس‌ها) دو بار در هفته برگزار می‌شوند‌."
"Ein Kurs geht 5 Monate.","مدت هر کلاس (کورس‌) ۵ ماه است."
"E-Mail","ایمیل"
"Es gibt auch einen Alphabetisierungs-Kurs für Menschen, die nicht lesen und schreiben können, entweder weil sie eine andere Schrift gelernt haben, oder weil sie es nie gelernt haben.","همچنین یک دوره سوادآموزی برای افرادی که نمی‌توانند بخوانند و بنویسند وجود دارد. اين دوره برای افرادی است که حروف الفبای متفاوتی را یاد گرفته‌اند یا خواندن و نوشتن را ياد نگرفته‌اند."
"Es kann leider sein, dass Sie mehrere Stunden warten müssen.","متأسفانه ممکن است مجبور شوید چند ساعت صبر کنید."
"Fax","فکس"
"Informationen zu den aktuellen Kursen und zur Anmeldungen gibt es während unserer Öffnungszeiten oder auf unserer Webseite.","اطلاعات مربوط به كورس‌های آلمانی و ثبت‌نام را می‌توانيد در وبسايت كوب ببينيد."
"Kommen Sie um 9:00 Uhr, um sich zur Beratung anzumelden.","لطفا ساعت ۹ صبح  به کوب بیایید تا برای مشاوره ثبت نام کنید."
"KONTAKT","تماس"
"ltr","rtl"
"Psychosoziale Beratung","مشاوره اجتماعی و روانشناسی"
"Schwangere","زنان باردار"
"Sie brauchen keinen Termin.","نیاز نیست وقت بگیرید."
"Sie entscheiden, worüber wir reden.","شما تصمیم می‌گیرید که در مورد چه موضوعی صحبت کنیم."
"Sie gehen keine Verpflichtungen ein.","شما هیچ تعهدی ندارید."
"Sie können sich an uns wenden, auch wenn Sie keinen sicheren Aufenthaltsstatus haben.","همچنین در صورتی که اجازه اقامت مطمئنی ندارید، می‌توانید با ما تماس بگیرید."
"Sie können zu uns kommen:","میتوانید در صورت تمایل به ما مراجعه کنید چنانچه:"
"Spendenkonto","کمک مالی"
"Telefon","تلفن"
"Unsere Kurse sind vor allem für Menschen, die keine Integrationskurse besuchen dürfen.","دوره‌های ما در درجه اول برای افرادی است که مجاز به شرکت در دوره های ادغام نیستند."
"Versuchen Sie es einfach!","لطفاً امتحان کنید!"
"Wenn Sie eine*n Sprachmittler*in bei der Beratung dabei haben wollen, rufen Sie bitte vorher bei uns an.","در صورت تمایل به حضور یک مترجم در هنگام مشاوره، لطفاً از قبل با ما تماس بگیرید."
"Wenn Sie nicht wissen, wie Sie weiterleben sollen."," اگرنمی‌دانید چطور به زندگی ادامه دهید."
"Wenn Sie oft große Angst haben."," اگر اغلب پیش می‌آید که دلشوره دارید و یا مدام احساس ترس و تشويش میکنید."
"Wenn Sie schlecht schlafen."," اگر نمی‌توانید بخوابید."
"Wenn Sie sehr oft traurig sind."," اگر اغلب احساس غم يا ناراحتی می‌کنید."
"Wenn Sie sich hilflos fühlen.","وقتی احساس ناامیدی می‌کنید."
"Wir beraten auf verschiedenen Sprachen, zum Beispiel: Arabisch, Kurdisch, Farsi, Französisch oder Russisch.","ما به زبان‌های مختلف مشاوره می دهیم. به عنوان مثال: عربی، کردی، فارسی، فرانسوی یا روسی."
"Wir beraten Sie zu Asyl- und Aufenthaltsrecht.","ما به شما در زمینه‌های پناهندگی و اقامت مشاوره می‌دهیم."
