"ab 13 Uhr",""
"Aktuelle Öffnungszeiten und Informationen zu Terminen und Anmeldung finden Sie auf unserer Webseite:",""
"Alle Angebote der KuB sind kostenlos.","Tous les services de la KuB sont gratuits."
"Alleinerziehende","des mères célibataires"
"Beratung für geflüchtete Frauen","Conseil pour femmes réfugiées"
"Beratung zu Asyl und Aufenthalt","Conseil sur le droit d'asile et le droit de résidence"
"Betroffene von häuslicher Gewalt","des femmes victimes de violence conjugale"
"Betroffene von sexualisierter Gewalt","des femmes victimes de violences sexuelles"
"Bitte bringen Sie alle Papiere mit, die für die Beratung wichtig sind.","Merci d'apporter tous les documents importants pour la consultation."
"Dafür schaffen wir eine geschützte und vertrauliche Atmosphäre.","Pour cela, nous créons une ambiance réconfortante."
"Das sind vor allem:","Il s'agit surtout :"
"de","fr"
"Deutsch lernen","Apprendre l'allemand"
"Die Frauenberatung der KuB ist für geflüchtete Frauen, die besonderen Schutz brauchen.","La consultation de la KuB réservée aux femmes s'adresse aux femmes réfugiées qui ont besoin d'une protection particulière."
"Die meisten Kurse finden 2 mal pro Woche statt.","La plupart des les cours on lieu 2 fois dans la semaine."
"Ein Kurs geht 5 Monate.","Un cours dure 5 mois."
"E-Mail","E-mail"
"Es gibt auch einen Alphabetisierungs-Kurs für Menschen, die nicht lesen und schreiben können, entweder weil sie eine andere Schrift gelernt haben, oder weil sie es nie gelernt haben.",""
"Es kann leider sein, dass Sie mehrere Stunden warten müssen.",""
"Fax","Fax"
"Informationen zu den aktuellen Kursen und zur Anmeldungen gibt es während unserer Öffnungszeiten oder auf unserer Webseite.",""
"Kommen Sie um 9:00 Uhr, um sich zur Beratung anzumelden.",""
"KONTAKT","CONTACT"
"Kontakt- und Beratungsstelle für Flüchtlinge und Migrant_innen e.V.","Kontakt- und Beratungsstelle für Flüchtlinge und Migrant_innen e.V."
"ltr","ltr"
"Psychosoziale Beratung","Conseil psychologique et social"
"Schwangere","des femmes enceintes"
"Sie brauchen keinen Termin.",""
"Sie entscheiden, worüber wir reden.","Vous décidez de quoi nous parlons."
"Sie gehen keine Verpflichtungen ein.","Vous ne prenez aucun engagement."
"Sie können sich an uns wenden, auch wenn Sie keinen sicheren Aufenthaltsstatus haben.",""
"Sie können zu uns kommen:","Vous pouvez venir nous voir si :"
"Spendenkonto","Dons"
"Telefon","Téléphone"
"Unsere Kurse sind vor allem für Menschen, die keine Integrationskurse besuchen dürfen.",""
"Versuchen Sie es einfach!","Faites donc un essai."
"Wenn Sie eine*n Sprachmittler*in bei der Beratung dabei haben wollen, rufen Sie bitte vorher bei uns an.","Si vous souhaitez avoir un·e interprète lors de la consultation, prévenez-nous à l'avance par téléphone."
"Wenn Sie nicht wissen, wie Sie weiterleben sollen.","vous ne savez pas comment continuer à vivre."
"Wenn Sie oft große Angst haben.","vous avez souvent très peur."
"Wenn Sie schlecht schlafen.","vous dormez mal."
"Wenn Sie sehr oft traurig sind.","vous vous sentez souvent triste."
"Wenn Sie sich hilflos fühlen.","vous vous sentez désemparé·e."
"Wir beraten auf verschiedenen Sprachen, zum Beispiel: Arabisch, Kurdisch, Farsi, Französisch oder Russisch.",""
"Wir beraten Sie zu Asyl- und Aufenthaltsrecht.","Nous vous conseillons sur le droit d'asile et le droit de résidence."
"Wir beraten zu Ihren Rechten und Möglichkeiten und unterstützen beim Stellen von Anträgen.",""
"Wir haben Kurse für Anfänger*innen (A1.1, A1.2, A2.1, A2.2) und für Fortgeschrittene (B1, B2).",""
"Wir hören Ihnen zu.","Nous vous écoutons."
"Wir können Sie auch anonym beraten.",""
"Wir machen keine Psychotherapie, aber wir können Ihnen helfen, eine Therapie zu finden.",""
"Wir sind eine unabhängige Beratungsstelle.",""
"Wir suchen mit Ihnen zusammen Wege, wie Sie mit Ihren Problemen umgehen können.","Nous cherchons ensemble des solutions à vos problèmes."
"Wir übernehmen keine Klagen vor Gericht für Sie. Wir können Ihnen aber helfen, eine Anwalt*in zu finden.",""
